full_name,spkid,epoch,e,a,q,i,om,w,ma,tp,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_tp,sigma_ma,data_arc,first_obs,last_obs,n_obs_used,best_arr_time,tof,arr_vel,dep_vel,period
C/2016 VZ18 (PANSTARRS),1003495,2457804.5,0.9953224034804048,194.6012037287076,0.910265913270462,24.03563546278521,98.95480816991748,36.38622084440971,359.9944160102706,2457819.880088001,3.6582e-06,0.15221,2.0242e-07,4.9643e-05,8.9901e-05,5.5694e-05,2.1573e-05,6.5503e-06,290,2016-10-08,2017-07-25,351.0,2017-01-26 08:03:13.953,273.7373737373738,21.45541087439707,0.28353249186044427,271478926742793.78
C/2017 E1 (Borisov),1003504,2457828.5,1.002574245322817,-349.8743913604389,0.9006625155330636,14.55415195179485,142.7328256699739,152.473457204951,-0.00378597351381383,2457853.6386372666,3.0442e-05,4.1356,4.8122e-06,5.5833e-05,0.00047216,0.00054136,0.00021794,6.7149e-05,116,2017-03-01,2017-06-25,183.0,2017-04-02 14:49:08.034,217.17171717171718,17.223659707795463,1.1850803134938803,
C/2019 U6 (Lemmon),1003663,2458967.5,0.997903188756678,436.025927851171,0.9142640678982692,61.00133862170884,235.7057545316621,329.6590580544367,359.9943901888965,2459019.321816983,7.0574e-07,0.14673,1.7608e-07,1.9778e-05,2.1036e-05,1.9961e-05,2.2628e-05,2.8323e-06,753,2018-11-06,2020-11-28,1144.0,2020-05-18 00:00:00.000,156.56565656565658,38.901294487733715,0.7630405054450641,910513338844672.5
C/2020 A2 (Iwamoto),1003657,2458902.5,0.9990777045538988,1060.410619482585,0.9780118853460532,120.7501318570768,286.3794131153552,68.20920286561076,0.00130380610841568,2458856.8206368983,3.8723e-05,44.533,1.0583e-05,9.1358e-05,0.00023527,0.0012448,0.0011766,8.2165e-05,104,2020-01-09,2020-04-22,529.0,2019-12-23 00:00:00.000,221.21212121212122,49.79523073767776,1.903823763037621,3453257332140976.5
C/2020 H4 (Leonard),1003679,2458969.5,0.9923475020316592,122.5319780535993,0.9376757131119454,84.32545915088272,307.7634038613991,116.8264992437531,359.9118717150423,2459090.778945251,0.00095119,15.313,0.00064399,0.0067155,0.0042586,0.054506,0.02935,0.016542,42,2020-04-21,2020-06-02,37.0,2020-06-21 00:00:00.000,229.2929292929293,41.647447268795574,2.047281317119205,135641319785132.0
C/2020 R4 (ATLAS),1003720,2459286.5,0.9893645328999318,96.71291123891044,1.028586985633252,164.4633463260304,323.2724390283404,46.70793010918349,0.01146596920075773,2459275.4354595253,5.441e-06,0.049565,9.8125e-07,1.5201e-05,8.231e-05,0.00011939,0.00011026,8.9277e-06,549,2020-08-29,2022-03-01,2399.0,2021-02-06 00:00:00.000,354.54545454545456,63.15286551227061,1.5725246262494221,95114017242342.8
C/2021 A4 (NEOWISE),1003756,2459261.5,0.9732474830770552,42.81751843845139,1.145476386623166,111.5698337246359,307.0847624825824,204.6655661643786,359.887299781102,2459293.537080007,4.5661e-05,0.07335,7.2456e-06,0.00042267,0.0002273,0.0012492,0.0012349,0.00029394,185,2021-01-03,2021-07-07,683.0,2021-01-25 00:00:00.000,168.6868686868687,54.21139755038514,1.2468087451613492,28018835420777.97
C/2021 D1 (SWAN),1003769,2459292.5,0.9906488283356564,96.43685271696992,0.9017975645254088,31.46078130442246,311.2712216541829,72.2229618807321,0.02018100797480953,2459273.108860853,6.3871e-05,0.66006,1.2926e-05,0.00015861,0.00031184,0.0012117,0.00082469,0.00020801,72,2021-02-28,2021-05-11,342.0,2021-01-18 00:00:00.000,221.21212121212122,26.166939627569093,1.7604924528187558,94707066060923.31
C/2021 F1 (Lemmon-PANSTARRS),1003834,2459641.5,0.9957013407361426,231.5714202771654,0.9954466310190568,107.3249916812853,203.4516043710536,146.8260951145685,359.9902455364062,2459676.3760070824,3.3989e-05,1.8336,1.1408e-05,0.000174,0.00012172,0.0010839,0.00087238,0.0001161,220,2022-01-07,2022-08-15,403.0,2022-03-28 00:00:00.000,350.5050505050505,56.64932667016455,0.8934479342658507,352407610731186.1
C/2021 P4 (ATLAS),1003801,2459590.5,0.9965656049623852,314.6004269477172,1.080462145140696,56.31080115328572,348.0948794479647,175.8224042110464,359.964607651723,2459790.8753373707,2.7108e-06,0.24854,1.6888e-06,1.9341e-05,4.3917e-05,0.00010778,0.00012441,4.1958e-05,346,2021-08-10,2022-07-22,954.0,2022-01-14 00:00:00.000,330.3030303030303,34.33701592262649,0.8145284692859791,558029041648481.56
C/2022 E3 (ZTF),1003845,2459873.5,1.000301899279413,-3684.157092308256,1.112244371412313,109.1694802153443,302.555019223584,145.8149286685123,-0.00036928712667236,2459957.285198878,6.0326e-07,7.3614,1.511e-07,6.7035e-06,7.0542e-06,1.6234e-05,2.0161e-05,1.1068e-06,809,2021-10-25,2024-01-12,5324.0,2022-11-21 00:00:00.000,209.0909090909091,52.97513269756609,1.7888258454517667,
C/2023 A2 (SWAN),1003911,2460009.5,0.9982913280834154,554.5011037755044,0.9474604637363876,94.70835528443284,94.47108848597628,142.5833082159439,0.00336738002335793,2459964.8890286344,0.00020407,66.309,0.00014306,0.00046457,0.0022918,0.012661,0.0054341,0.00060443,77,2023-01-30,2023-04-17,159.0,2023-04-02 00:00:00.000,338.3838383838384,52.346442283757206,0.5049297898252972,1305784360115597.2
C/2023 R2 (PANSTARRS),1003946,2460246.5,1.000726975857283,-1246.024129472222,0.905829459718354,30.73565325502372,188.9875983719728,337.1888550347654,-0.00645550813027067,2460534.581942932,1.5541e-05,26.645,8.9242e-06,0.00031482,0.00038039,0.00057465,0.0043073,0.00020698,195,2023-09-10,2024-03-23,309.0,2023-11-12 00:00:00.000,217.17171717171718,23.492169054423616,1.3108439918079615,
C/2023 V4 (Camarasa-Duszanowicz),1003958,2460431.5,1.001001642220273,-1119.864326517999,1.121703390418006,67.12999544970212,66.32590736850038,50.85418031484183,-0.00077227546844524,2460460.8640720607,1.3395e-06,1.4977,3.2184e-07,2.2754e-05,3.185e-05,3.214e-05,4.0941e-05,1.549e-06,342,2023-11-05,2024-10-12,1124.0,2024-03-12 00:00:00.000,261.61616161616166,35.01117242191389,1.8754841249218188,
C/2023 X1 (Leonard),1003962,2460290.5,0.994151181810388,162.5093493381589,0.950487638391057,110.5866515509952,137.0106680936667,321.470853591162,0.02612434528310261,2460235.5890612444,6.784e-05,1.8909,3.5156e-05,0.00054291,0.00093133,0.0041008,0.0023003,0.00045706,89,2023-11-01,2024-01-29,255.0,2024-01-09 00:00:00.000,314.14141414141415,57.588929289909565,0.5558231535528969,207174055368636.66
