full_name,spkid,epoch,e,a,q,i,om,w,ma,tp,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_tp,sigma_ma,data_arc,first_obs,last_obs,n_obs_used
C/2001 Q4 (NEAT),1000351,2453140.5,1.000688051701856,-1398.092298471224,0.9619597853147941,99.6426335150403,210.2784398134271,1.204370507121934,-1.820758099498258E-5,2453141.4657215923,9.9686E-7,2.0255,9.5265E-8,8.7679E-6,1.084E-5,1.157E-5,9.4144E-6,3.949E-8,1811,2001-08-24,2006-08-09,2617.0
C/2002 O7 (LINEAR),1000401,2452736.5,1.000274901005369,-3285.990386977609,0.9033220610133036,98.74337121920949,12.80360240253879,252.0686426273046,-.0008820419127164338,2452905.0716669154,2.6797E-6,32.026,2.3236E-6,6.0745E-5,5.0652E-5,.00017923,.00019689,1.2894E-5,343,2002-07-29,2003-07-07,1606.0
C/2003 K4 (LINEAR),1000442,2453171.5,1.000300703408358,-3404.074214087312,1.023616718479539,134.2525183648013,18.67572241685174,198.4427076902601,-.0005990742636636944,2453292.218858021,1.1122E-6,12.588,9.1884E-7,7.1227E-6,1.9612E-5,7.0436E-5,5.2089E-5,3.3227E-6,1269,2003-05-28,2006-11-17,3625.0
C/2004 K3 (LINEAR),1000499,2453167.5,0.9810153150144517,58.11823397532302,1.103356363937897,111.9284741429292,275.5374079340397,60.49096827708593,359.9567193869419,2453186.956196483,.00021623,.66322,2.4021E-5,.00090161,.0014202,.0030268,.0044908,.00075083,48,2004-05-29,2004-07-16,81.0
C/2005 A1-A (LINEAR),1002219,2453823.5,1.00064701084044,-1401.37096163182,0.906702203657889,74.8807301054095,355.8564792005596,271.8614895542404,.006627514820320409,2453470.7424604646,8.1943E-7,1.775,2.2215E-7,4.7413E-5,1.9509E-5,1.8494E-5,2.7572E-5,1.2591E-5,416,2004-12-09,2006-01-29,1264.0
C/2005 N1 (Juels-Holvorcem),1001651,2453667.5,0.9984561730490273,728.9984721181804,1.125447488473938,51.18019372798361,3.240351299370207,80.04569772795328,.003152601663523237,2453604.541415728,5.6055E-6,2.6474,1.2273E-6,5.4984E-5,4.6885E-5,.00013533,.00013333,1.7179E-5,275,2005-07-01,2006-04-02,226.0
C/2006 VZ13 (LINEAR),1002432,2454264.5,1.000245861924317,-4129.358475036619,1.015252020867551,134.7933201543051,66.02690429093474,174.1153118872615,-.0002187427497159139,2454323.39161612,4.9985E-6,83.95,6.0413E-7,1.2131E-5,3.5442E-5,.00014386,.00011198,6.6702E-6,274,2006-11-13,2007-08-14,1025.0
C/2007 E2 (Lovejoy),1002449,2454235.5,0.9991756528860143,1325.82284461797,1.092938235617152,95.88290133343503,232.4318366430011,340.5337773673682,.0009901660606251505,2454187.0010642014,3.4278E-5,55.134,3.8025E-6,.0003492,.00020671,.0007388,.00069155,6.1778E-5,158,2007-03-18,2007-08-23,1648.0
C/2007 K5 (Lovejoy),1002461,2454266.5,0.9766934836994186,49.30685390285607,1.149170994217303,64.88321475106216,193.7387343778322,255.5849995505291,.1253696511390705,2454222.459800018,.00070451,1.499,.00019992,.0027928,.0020591,.018154,.017717,.0057674,50,2007-05-29,2007-07-18,48.0
C/2007 T1 (McNaught),1002479,2454437.5,0.9997597349154286,4030.976592616314,0.968502931930384,117.6424445495776,111.433283685437,233.7551315159975,359.9999632991288,2454447.029886204,4.7383E-6,79.498,7.0988E-7,6.1413E-5,.00011488,6.1587E-5,.00012008,1.0853E-6,184,2007-10-09,2008-04-10,321.0
